movie_title,cast and crew,Genre,vote_average,vote_count,comb
social animals,theresa bennett no l wells josh radnor aya cash carly chaikin fortune feimster samira wiley,comedy romance,6.5,57,theresa bennett no l wells josh radnor aya cash carly chaikin fortune feimster samira wiley comedy romance
ocean's 8,gary ross olivia milch sandra bullock cate blanchett anne hathaway mindy kaling sarah paulson awkwafina rihanna helena bonham carter,crime comedy action thriller,7,5904,gary ross olivia milch sandra bullock cate blanchett anne hathaway mindy kaling sarah paulson awkwafina rihanna helena bonham carter crime comedy action thriller
won't you be my neighbor?,morgan neville fred rogers,documentary,8.3,342,morgan neville fred rogers documentary
hereditary,ari aster toni collette alex wolff milly shapiro ann dowd gabriel byrne,horror mystery thriller,7.2,4541,ari aster toni collette alex wolff milly shapiro ann dowd gabriel byrne horror mystery thriller
hotel artemis,drew pearce jodie foster sterling k brown sofia boutella jeff goldblum dave bautista brian tyree henry jenny slate zachary quinto charlie day,thriller science fiction action,6,961,drew pearce jodie foster sterling k brown sofia boutella jeff goldblum dave bautista brian tyree henry jenny slate zachary quinto charlie day thriller science fiction action
superfly,x alex tse trevor jackson jason mitchell michael k williams esai morales,action crime,6.8,251,x alex tse trevor jackson jason mitchell michael k williams esai morales action crime
incredibles 2,brad bird craig t nelson holly hunter sarah vowell huckleberry milner samuel l jackson bob odenkirk catherine keener jonathan banks,action adventure animation family,7.5,9385,brad bird craig t nelson holly hunter sarah vowell huckleberry milner samuel l jackson bob odenkirk catherine keener jonathan banks action adventure animation family
tag,jeff tomsic rob mckittrick mark steilen ed helms jeremy renner jon hamm jake johnson hannibal buress annabelle wallis isla fisher rashida jones leslie bibb,comedy drama,6.7,2005,jeff tomsic rob mckittrick mark steilen ed helms jeremy renner jon hamm jake johnson hannibal buress annabelle wallis isla fisher rashida jones leslie bibb comedy drama
on chesil beach,dominic cooke ian mcewan saoirse ronan billy howle emily watson anne marie duff samuel west adrian scarborough,drama romance,6.2,241,dominic cooke ian mcewan saoirse ronan billy howle emily watson anne marie duff samuel west adrian scarborough drama romance
gotti,kevin connolly lem dobbs leo rossi john travolta kelly preston stacy keach pruitt taylor vince spencer lofranco william demeo leo rossi victor gojcaj,crime drama history thriller,5.3,417,kevin connolly lem dobbs leo rossi john travolta kelly preston stacy keach pruitt taylor vince spencer lofranco william demeo leo rossi victor gojcaj crime drama history thriller
jurassic world: fallen kingdom,j a bayona derek connolly colin trevorrow chris pratt bryce dallas howard rafe spall justice smith daniella pineda james cromwell toby jones ted levine b d wong isabella sermon geraldine chaplin jeff goldblum,action adventure science fiction,6.6,8421,j a bayona derek connolly colin trevorrow chris pratt bryce dallas howard rafe spall justice smith daniella pineda james cromwell toby jones ted levine b d wong isabella sermon geraldine chaplin jeff goldblum action adventure science fiction
boundaries,shana feste vera farmiga christopher plummer lewis macdougall bobby cannavale kristen schaal,comedy drama,5.6,31,shana feste vera farmiga christopher plummer lewis macdougall bobby cannavale kristen schaal comedy drama
damsel,david zellner nathan zellner s robert pattinson mia wasikowska,comedy western,5.2,77,david zellner nathan zellner s robert pattinson mia wasikowska comedy western
the domestics,mike p nelson tyler hoechlin kate bosworth lance reddick sonoya mizuno dana gourrier thomas francis murray david dastmalchian,thriller horror,6.1,270,mike p nelson tyler hoechlin kate bosworth lance reddick sonoya mizuno dana gourrier thomas francis murray david dastmalchian thriller horror
sicario: day of the soldado,stefano sollima taylor sheridan benicio del toro josh brolin isabela moner jeffrey donovan manuel garcia rulfo catherine keener,action crime drama thriller,6.8,2119,stefano sollima taylor sheridan benicio del toro josh brolin isabela moner jeffrey donovan manuel garcia rulfo catherine keener action crime drama thriller
leave no trace,debra granik anne rosellini ben foster thomasin mckenzie jeff kober dale dickey,drama,6.7,715,debra granik anne rosellini ben foster thomasin mckenzie jeff kober dale dickey drama
uncle drew,charles stone iii jay longino kyrie irving lil rel howery shaquille o neal reggie miller nate robinson chris webber erica ash lisa leslie nick kroll tiffany haddish,comedy,6.7,352,charles stone iii jay longino kyrie irving lil rel howery shaquille o neal reggie miller nate robinson chris webber erica ash lisa leslie nick kroll tiffany haddish comedy
woman walks ahead,susanna white steven knight jessica chastain michael greyeyes chaske spencer sam rockwell,drama history western,6.7,95,susanna white steven knight jessica chastain michael greyeyes chaske spencer sam rockwell drama history western
the first purge,gerard mcmurray james demonaco y lan noel lex scott davis joivan wade luna lauren velez marisa tomei,action science fiction thriller horror,6,2693,gerard mcmurray james demonaco y lan noel lex scott davis joivan wade luna lauren velez marisa tomei action science fiction thriller horror
ant-man and the wasp,peyton reed chris mckenna erik sommers paul rudd andrew barrer gabriel ferrari paul rudd evangeline lilly michael pe a michael douglas michelle pfeiffer walton goggins hannah john kamen bobby cannavale judy greer tip t i harris david dastmalchian abby ryder fortson randall park laurence fishburne,action adventure science fiction comedy,7,9160,peyton reed chris mckenna erik sommers paul rudd andrew barrer gabriel ferrari paul rudd evangeline lilly michael pe a michael douglas michelle pfeiffer walton goggins hannah john kamen bobby cannavale judy greer tip t i harris david dastmalchian abby ryder fortson randall park laurence fishburne action adventure science fiction comedy
sorry to bother you,boots riley lakeith stanfield tessa thompson armie hammer steven yeun jermaine fowler omari hardwick terry crews danny glover patton oswalt david cross,fantasy science fiction comedy,6.9,864,boots riley lakeith stanfield tessa thompson armie hammer steven yeun jermaine fowler omari hardwick terry crews danny glover patton oswalt david cross fantasy science fiction comedy
whitney,kevin macdonald whitney houston,documentary,7.6,128,kevin macdonald whitney houston documentary
hotel transylvania 3: summer vacation,genndy tartakovsky michael mccullers adam sandler andy samberg selena gomez kevin james fran drescher steve buscemi molly shannon david spade keegan michael key jim gaffigan kathryn hahn mel brooks,family fantasy comedy animation,6.9,2793,genndy tartakovsky michael mccullers adam sandler andy samberg selena gomez kevin james fran drescher steve buscemi molly shannon david spade keegan michael key jim gaffigan kathryn hahn mel brooks family fantasy comedy animation
skyscraper,rawson marshall thurber dwayne johnson neve campbell chin han roland m ller pablo schreiber byron mann hannah quinlivan noah taylor,action,6.3,3460,rawson marshall thurber dwayne johnson neve campbell chin han roland m ller pablo schreiber byron mann hannah quinlivan noah taylor action
eighth grade,bo burnham elsie fisher josh hamilton emily robinson missy yager,comedy drama,7.3,933,bo burnham elsie fisher josh hamilton emily robinson missy yager comedy drama
"don't worry, he won't get far on foot",gus van sant joaquin phoenix rooney mara jonah hill jack black,comedy drama,6.7,402,gus van sant joaquin phoenix rooney mara jonah hill jack black comedy drama
shock and awe,rob reiner joey hartstone woody harrelson tommy lee jones james marsden milla jovovich jessica biel richard schiff al sapienza,drama history thriller,6.6,83,rob reiner joey hartstone woody harrelson tommy lee jones james marsden milla jovovich jessica biel richard schiff al sapienza drama history thriller
mamma mia! here we go again,ol parker lily james amanda seyfried pierce brosnan colin firth stellan skarsg rd julie walters christine baranski dominic cooper cher andy garc a meryl streep,comedy romance,7.2,2464,ol parker lily james amanda seyfried pierce brosnan colin firth stellan skarsg rd julie walters christine baranski dominic cooper cher andy garc a meryl streep comedy romance
the equalizer 2,antoine fuqua richard wenk denzel washington ashton sanders pedro pascal melissa leo bill pullman,action thriller crime,6.5,3135,antoine fuqua richard wenk denzel washington ashton sanders pedro pascal melissa leo bill pullman action thriller crime
blindspotting,carlos l pez estrada daveed diggs rafael casal janina gavankar ethan embry daveed diggs rafael casal wayne knight,comedy drama,7.5,394,carlos l pez estrada daveed diggs rafael casal janina gavankar ethan embry daveed diggs rafael casal wayne knight comedy drama
unfriended: dark web,stephen susco colin woodell rebecca rittenhouse betty gabriel andrew lees connor del rio stephanie nogueras savira windyani,horror mystery thriller,6.2,873,stephen susco colin woodell rebecca rittenhouse betty gabriel andrew lees connor del rio stephanie nogueras savira windyani horror mystery thriller
bleach,shinsuke sato sota fukushi hana sugisaki,action fantasy adventure,6.7,359,shinsuke sato sota fukushi hana sugisaki action fantasy adventure
gauguin – voyage de tahiti,douard deluc tienne comar vincent cassel tuhe adams malik zidi,drama romance,5.7,68,douard deluc tienne comar vincent cassel tuhe adams malik zidi drama romance
mission: impossible – fallout,christopher mcquarrie tom cruise henry cavill ving rhames simon pegg rebecca ferguson sean harris angela bassett michelle monaghan alec baldwin,action adventure,7.4,5508,christopher mcquarrie tom cruise henry cavill ving rhames simon pegg rebecca ferguson sean harris angela bassett michelle monaghan alec baldwin action adventure
teen titans go! to the movies,peter rida michail aaron horvath michael jelenic scott menville khary payton tara strong greg cipes hynden walch will arnett kristen bell,animation action comedy science fiction,7.4,785,peter rida michail aaron horvath michael jelenic scott menville khary payton tara strong greg cipes hynden walch will arnett kristen bell animation action comedy science fiction
detective dee: the four heavenly kings,tsui hark chang chia lu chen kuo fu mark chao feng shaofeng lin gengxin carina lau ethan juan sandra ma,mystery fantasy adventure action,6.4,108,tsui hark chang chia lu chen kuo fu mark chao feng shaofeng lin gengxin carina lau ethan juan sandra ma mystery fantasy adventure action
hot summer nights,elijah bynum timoth e chalamet maika monroe alex roe maia mitchell,drama comedy,6.8,387,elijah bynum timoth e chalamet maika monroe alex roe maia mitchell drama comedy
puzzle,marc turtletaub oren moverman kelly macdonald irrfan khan david denman bubba weiler austin abrams liv hewson,drama,6.7,93,marc turtletaub oren moverman kelly macdonald irrfan khan david denman bubba weiler austin abrams liv hewson drama
